tweet_id,retweet_count,favor_count,expanded_url
874434818259525634,14388,0,
874296783580663808,4019,25517,https://twitter.com/dog_rates/status/874296783580663808/photo/1
874057562936811520,3872,22227,https://twitter.com/dog_rates/status/874057562936811520/photo/1
874012996292530176,10187,33816,https://twitter.com/dog_rates/status/874012996292530176/photo/1
873580283840344065,3854,23722,https://twitter.com/dog_rates/status/873580283840344065/photo/1
873337748698140672,1554,0,
873213775632977920,1554,7084,https://twitter.com/dog_rates/status/873213775632977920/photo/1
872967104147763200,5308,26786,https://twitter.com/dog_rates/status/872967104147763200/photo/1
872820683541237760,3627,14446,https://twitter.com/dog_rates/status/872820683541237760/photo/1
872620804844003328,3628,20389,https://twitter.com/dog_rates/status/872620804844003328/photo/1
872486979161796608,8866,39924,https://twitter.com/dog_rates/status/872486979161796608/photo/1
872122724285648897,7990,33769,https://twitter.com/dog_rates/status/872122724285648897/photo/1
871879754684805121,10966,37233,https://twitter.com/dog_rates/status/871879754684805121/photo/1
871762521631449091,3422,19903,https://twitter.com/dog_rates/status/871762521631449091/photo/1
871515927908634625,3404,19849,https://twitter.com/dog_rates/status/871515927908634625/photo/1
871166179821445120,5609,0,
871102520638267392,5429,20585,
871032628920680449,3764,22314,https://twitter.com/dog_rates/status/871032628920680449/photo/1
870804317367881728,6121,33096,https://twitter.com/dog_rates/status/870804317367881728/photo/1
870656317836468226,2605,12212,https://twitter.com/dog_rates/status/870656317836468226/photo/1
870374049280663552,25902,81475,https://twitter.com/dog_rates/status/870374049280663552/photo/1
870308999962521604,4105,21520,https://twitter.com/dog_rates/status/870308999962521604/photo/1
870063196459192321,8248,36107,https://twitter.com/dog_rates/status/870063196459192321/photo/1
869772420881756160,9923,41824,https://twitter.com/dog_rates/status/869772420881756160/photo/1
869702957897576449,6282,27845,https://twitter.com/dog_rates/status/869702957897576449/photo/1
869596645499047938,3107,15773,https://twitter.com/dog_rates/status/869596645499047938/photo/1
869227993411051520,3758,20199,https://twitter.com/dog_rates/status/869227993411051520/photo/1
868880397819494401,14349,64792,https://twitter.com/dog_rates/status/868880397819494401/photo/1
868639477480148993,2080,0,
868622495443632128,5258,26423,https://twitter.com/dog_rates/status/868622495443632128/photo/1
868552278524837888,2080,10007,https://twitter.com/dog_rates/status/868552278524837888/photo/1
867900495410671616,4155,23929,https://twitter.com/dog_rates/status/867900495410671616/photo/1
867774946302451713,7298,33610,https://twitter.com/dog_rates/status/867774946302451713/photo/1
867421006826221569,2489,15941,https://twitter.com/dog_rates/status/867421006826221569/photo/1
867051520902168576,7823,31933,https://twitter.com/dog_rates/status/867051520902168576/photo/1
866720684873056260,4790,19891,
866686824827068416,3464,19118,https://twitter.com/dog_rates/status/866686824827068416/photo/1
866450705531457537,35176,121194,https://twitter.com/dog_rates/status/866450705531457537/photo/1
866334964761202691,14388,52108,https://twitter.com/dog_rates/status/866334964761202691/photo/1
866094527597207552,8344,0,
865718153858494464,5603,25450,https://twitter.com/dog_rates/status/865718153858494464/photo/1
865359393868664832,4991,26278,https://twitter.com/dog_rates/status/865359393868664832/photo/1
865006731092295680,7676,27816,https://twitter.com/dog_rates/status/865006731092295680/photo/1
864873206498414592,8702,32077,https://twitter.com/dog_rates/status/864873206498414592/photo/1
864279568663928832,3029,14552,https://twitter.com/dog_rates/status/864279568663928832/photo/1
864197398364647424,8926,29987,https://twitter.com/dog_rates/status/864197398364647424/photo/1
863907417377173506,4141,20509,https://twitter.com/dog_rates/status/863907417377173506/photo/1
863553081350529029,4188,15227,https://twitter.com/dog_rates/status/863553081350529029/video/1
863471782782697472,2450,0,
863432100342583297,5251,23725,https://twitter.com/dog_rates/status/863432100342583297/photo/1
863079547188785154,1108,8737,https://twitter.com/dog_rates/status/863079547188785154/photo/1
863062471531167744,2450,8495,https://twitter.com/dog_rates/status/863062471531167744/photo/1
862831371563274240,5116,19108,https://twitter.com/dog_rates/status/862831371563274240/photo/1
862722525377298433,3538,17004,https://twitter.com/dog_rates/status/862722525377298433/photo/1
862457590147678208,4979,20457,https://twitter.com/dog_rates/status/862457590147678208/photo/1
862096992088072192,23390,74313,https://twitter.com/dog_rates/status/862096992088072192/photo/1
861383897657036800,10763,36052,https://twitter.com/dog_rates/status/861383897657036800/photo/1
861288531465048066,4180,17167,https://twitter.com/dog_rates/status/861288531465048066/video/1
861005113778896900,3823,16698,https://twitter.com/dog_rates/status/861005113778896900/photo/1
860981674716409858,2176,0,
